date,code,sub,mainline
20251201,sz000547,航天,商业航天
20251201,sz002413,存储,半导体
20251201,sz002792,航天,商业航天
20251201,sz002565,航天,商业航天
20251201,sz002519,航天,商业航天
20251201,sz002651,航天,商业航天
20251201,sz002625,航天,商业航天
20251201,sh600868,有色,大周期
20251201,sz002114,有色,大周期
20251201,sz002540,有色,大周期
20251201,sh603077,化工,大周期
20251201,sz002578,有色,大周期
20251201,sh603933,机器人,人工智能
20251201,sz000816,机器人,人工智能
20251201,sz002863,机器人,人工智能
20251201,sh603121,机器人,人工智能
20251201,sz000859,化工,大周期
20251201,sz000530,液冷,人工智能
20251201,sz002702,食品,大消费
20251201,sh600981,芯片,半导体
20251201,sz002787,半导体,半导体
20251201,sh603803,光通信,人工智能
20251201,sh600284,算力,人工智能
20251202,sz002702,食品,大消费
20251202,sh603933,机器人,人工智能
20251202,sz002300,电缆,电网
20251202,sz000547,航天,商业航天
20251202,sz002413,存储,半导体
20251202,sz002792,航天,商业航天
20251202,sz002565,算力,人工智能
20251202,sz301136,航天,商业航天
20251202,sh600829,医药,大消费
20251202,sh600272,医药,大消费
20251202,sh603122,医药,大消费
20251202,sh600981,芯片,半导体
20251202,sz000859,化工,大周期
20251202,sz002474,AI应用,人工智能
20251202,sh603106,AI应用,人工智能
20251202,sz000530,液冷,人工智能
20251202,sh603113,化工,大周期
20251202,sz000812,AI应用,人工智能
20251203,sz002702,食品,大消费
20251203,sz002300,电缆,电网
20251203,sz000993,电力,电网
20251203,sz002565,算力,人工智能
20251203,sz002519,机器人,人工智能
20251203,sh600151,航天,商业航天
20251203,sh603017,航天,商业航天
20251203,sz002682,航天,商业航天
20251203,sz002913,PCB,半导体
20251203,sh605108,食品,大消费
20251203,sz001211,食品,大消费
20251203,sh603711,饮料,大消费
20251203,sh600467,食品,大消费
20251203,sh600408,煤炭,大周期
20251203,sz000571,煤炭,大周期
20251203,sh600403,煤炭,大周期
20251203,sh603286,机器人,人工智能
20251203,sh603386,PCB,半导体
20251203,sz002515,芯片,半导体
20251203,sh600255,有色,大周期
20251203,sh603353,芯片,半导体
20251203,sz000692,电力,电网
20251203,sz002769,储能,电网
20251203,sz002589,医药,大消费
20251203,sh603906,有色,大周期
20251203,sh600281,有色,大周期
20251203,sz001336,储能,电网
20251203,sh601399,核电,电网
20251204,sh603933,机器人,人工智能
20251204,sh603386,PCB,半导体
20251204,sh600592,机器人,人工智能
20251204,sz002520,机器人,人工智能
20251204,sz300095,机器人,人工智能
20251204,sz002347,机器人,人工智能
20251204,sz002031,机器人,人工智能
20251204,sz002344,机器人,人工智能
20251204,sz300885,机器人,人工智能
20251204,sz300946,机器人,人工智能
20251204,sz301510,机器人,人工智能
20251204,sh600151,航天,商业航天
20251204,sz002682,机器人,人工智能
20251204,sh600678,航天,商业航天
20251204,sz002512,航天,商业航天
20251204,sh603359,航天,商业航天
20251204,sh600118,航天,商业航天
20251204,sh600167,机器人,人工智能
20251204,sz002925,机器人,人工智能
20251204,sz002402,机器人,人工智能
20251204,sh600635,机器人,人工智能
20251204,sz002300,电缆,电网
20251204,sh601399,核电,电网
20251204,sz002589,医药,大消费
20251204,sz000510,化工,大周期
20251205,sz002702,食品,大消费
20251205,sz002300,核电,电网
20251205,sh600734,AI应用,人工智能
20251205,sz000547,航天,商业航天
20251205,sz002565,算力,人工智能
20251205,sz002682,机器人,人工智能
20251205,sz002977,军工,商业航天
20251205,sz301005,航天,商业航天
20251205,sh605598,航天,商业航天
20251205,sz000901,航天,商业航天
20251205,sz002218,航天,商业航天
20251205,sz300427,航天,商业航天
20251205,sh600343,航天,商业航天
20251205,sh603386,PCB,半导体
20251205,sz002885,机器人,人工智能
20251205,sz002779,机器人,人工智能
20251205,sh600302,机器人,人工智能
20251205,sh600366,有色,大周期
20251205,sz300421,机器人,人工智能
