date,height,height_strict,limit_count,available_bars,pressure5,breakout5,pressure10,breakout10,pressure20,breakout20,gap,state,fold,leader_codes,leader_names,broken_height,broken_names,prior_break_pressure,next_height,future_max1,future_max3,future_max5,future_max10
2025-07-01,1,1,29,3173,,False,,False,,False,,深度压缩,前半段,sh600190|sh600192|sh600319|sh600353|sh600396|sh600595|sh600619|sh600643|sh600726|sh600744|sh600751|sh600990|sh601003|sh601218|sh601606|sh601718|sh603091|sh603124|sh603125|sh603203|sh603256|sh603316|sh603601|sh603716|sh603726|sh603823|sh603936|sh605006|sh605151,退市锦港、长城电工、亚星化学、旭光电子、华电辽能、中孚实业、海立股份、爱建集团、华电能源、华银电力、海航科技、四创电子、柳钢股份、吉鑫科技、长城军工、ST际华、众鑫股份、江南新材、常青科技、快克智能、宏和科技、诚邦股份、再升科技、塞力医疗、朗迪集团、百合花、博敏电子、山东玻纤、西上海,0,,,2.0,2.0,4.0,4.0,6.0
2025-07-02,2,2,52,3173,,False,,False,,False,,深度压缩,前半段,sh600192|sh600319|sh601003|sh601218|sh603316|sh603601|sh603716|sh605151,长城电工、亚星化学、柳钢股份、吉鑫科技、诚邦股份、再升科技、塞力医疗、西上海,0,,,3.0,3.0,4.0,5.0,6.0
2025-07-03,3,3,54,3172,,False,,False,,False,,深度压缩,前半段,sh601003|sh601218|sh603316|sh603716,柳钢股份、吉鑫科技、诚邦股份、塞力医疗,0,,,4.0,4.0,4.0,6.0,6.0
2025-07-04,4,4,33,3173,,False,,False,,False,,深度压缩,前半段,sh601003|sh603716,柳钢股份、塞力医疗,0,,,3.0,3.0,5.0,6.0,6.0
2025-07-07,3,3,56,3172,,False,,False,,False,,深度压缩,前半段,sh600475|sh600744|sh605500|sz002636|sz002721,华光环能、华银电力、森林包装、金安国纪、金一文化,4,柳钢股份、塞力医疗,,4.0,4.0,6.0,6.0,6.0
2025-07-08,4,4,59,3170,4.0,False,,False,,False,0.0,触压,前半段,sh600475|sh600744|sh605500|sz002636,华光环能、华银电力、森林包装、金安国纪,0,,4.0,5.0,5.0,6.0,6.0,6.0
2025-07-09,5,5,43,3172,4.0,True,,False,,False,1.0,突破,前半段,sh600475|sh600744|sh605500|sz002636,华光环能、华银电力、森林包装、金安国纪,0,,4.0,6.0,6.0,6.0,6.0,6.0
2025-07-10,6,6,58,3173,5.0,False,,False,,False,1.0,突破,前半段,sh600475|sh605500,华光环能、森林包装,0,,4.0,5.0,5.0,5.0,5.0,6.0
2025-07-11,5,5,53,3174,6.0,False,,False,,False,-1.0,压下一板,前半段,sh600962|sh605122,国投中鲁、四方新材,6,华光环能、森林包装,4.0,4.0,4.0,4.0,6.0,6.0
2025-07-14,4,4,58,3173,6.0,False,,False,,False,-2.0,深度压缩,前半段,sh603778,国晟科技,5,国投中鲁、四方新材,6.0,3.0,3.0,5.0,6.0,6.0
2025-07-15,3,3,38,3172,6.0,False,6.0,False,,False,-3.0,深度压缩,前半段,sh600822|sh600826|sh603176|sh605259|sz002209|sz002645,上海物贸、兰生股份、汇通集团、绿田机械、达 意 隆、华宏科技,4,国晟科技,5.0,4.0,4.0,6.0,6.0,7.0
2025-07-16,4,4,50,3170,6.0,False,6.0,False,,False,-2.0,深度压缩,前半段,sh600822|sh600826|sz002209|sz002645,上海物贸、兰生股份、达 意 隆、华宏科技,0,,4.0,5.0,5.0,6.0,6.0,8.0
2025-07-17,5,5,50,3170,6.0,False,6.0,False,,False,-1.0,压下一板,前半段,sh600822|sh600826,上海物贸、兰生股份,0,,4.0,6.0,6.0,6.0,6.0,9.0
2025-07-18,6,6,38,3170,5.0,True,6.0,False,,False,1.0,突破,前半段,sh600826,兰生股份,0,,4.0,3.0,3.0,4.0,5.0,9.0
2025-07-21,3,3,101,3171,6.0,False,6.0,False,,False,-3.0,深度压缩,前半段,sh600829|sh601003|sh605033|sz002246|sz002265,人民同泰、柳钢股份、美邦股份、北化股份、建设工业,6,兰生股份,4.0,4.0,4.0,4.0,6.0,9.0
2025-07-22,4,4,84,3168,6.0,False,6.0,False,,False,-2.0,深度压缩,前半段,sh601003|sh605033|sz002246,柳钢股份、美邦股份、北化股份,0,,6.0,4.0,4.0,5.0,7.0,9.0
2025-07-23,4,4,43,3171,6.0,False,6.0,False,,False,-2.0,深度压缩,前半段,sz001360,南矿集团,4,柳钢股份、美邦股份、北化股份,6.0,4.0,4.0,6.0,8.0,9.0
