date,code,sub,mainline
20251031,sh600067,其它,其它
20251031,sh600326,其它,其它
20251031,sh600439,其它,其它
20251031,sh600469,其它,其它
20251031,sh600513,创新药,医药
20251031,sh600599,其它,其它
20251031,sh600624,其它,其它
20251031,sh600635,其它,其它
20251031,sh600654,其它,其它
20251031,sh600666,其它,其它
20251031,sh600735,其它,其它
20251031,sh601019,其它,其它
20251031,sh601360,其它,其它
20251031,sh603001,其它,其它
20251031,sh603021,其它,其它
20251031,sh603122,其它,其它
20251031,sh603159,其它,其它
20251031,sh603185,其它,其它
20251031,sh603190,其它,其它
20251031,sh603489,其它,其它
20251031,sh603629,其它,其它
20251031,sh603686,机器人,机器人
20251031,sh603697,其它,其它
20251031,sh603755,其它,其它
20251031,sh603823,储能,新能源电网
20251031,sh603828,其它,其它
20251031,sh603876,其它,其它
20251031,sh603903,其它,其它
20251031,sh603929,其它,其它
20251031,sh603955,其它,其它
20251031,sh605133,机器人,机器人
20251031,sh605178,其它,其它
20251031,sh688095,其它,其它
20251031,sh688336,创新药,医药
20251031,sz000504,其它,其它
20251031,sz000559,机器人,机器人
20251031,sz000572,其它,其它
20251031,sz000592,其它,其它
20251031,sz000608,其它,其它
20251031,sz000609,其它,其它
20251031,sz000638,其它,其它
20251031,sz000691,其它,其它
20251031,sz000700,其它,其它
20251031,sz000736,其它,其它
20251031,sz000820,其它,其它
20251031,sz000826,其它,其它
20251031,sz000892,传媒,AI应用
20251031,sz000955,医药,医药
20251031,sz001203,储能,新能源电网
20251031,sz001330,传媒,AI应用
20251031,sz002047,其它,其它
20251031,sz002181,其它,其它
20251031,sz002231,其它,其它
20251031,sz002305,其它,其它
20251031,sz002317,创新药,医药
20251031,sz002370,创新药,医药
20251031,sz002374,其它,其它
20251031,sz002485,其它,其它
20251031,sz002522,化工,周期资源
20251031,sz002636,其它,其它
20251031,sz002653,创新药,医药
20251031,sz002679,其它,其它
20251031,sz002713,其它,其它
20251031,sz002759,储能,新能源电网
20251031,sz002787,其它,其它
20251031,sz002789,其它,其它
20251031,sz002790,其它,其它
20251031,sz002808,其它,其它
20251031,sz002812,储能,新能源电网
20251031,sz002940,创新药,医药
20251031,sz003036,储能,新能源电网
20251031,sz300071,AI应用,AI应用
20251031,sz300204,创新药,医药
20251031,sz300300,其它,其它
20251031,sz301122,医药,医药
20251031,sz301231,传媒,AI应用
20251103,sh600089,电网,新能源电网
20251103,sh600228,其它,其它
20251103,sh600265,其它,其它
20251103,sh600308,化工,周期资源
20251103,sh600408,煤炭,周期资源
20251103,sh600444,核电,新能源电网
20251103,sh600475,光伏,新能源电网
20251103,sh600556,传媒,AI应用
20251103,sh600579,化工,周期资源
20251103,sh600599,其它,其它
20251103,sh600608,其它,其它
20251103,sh600624,其它,其它
20251103,sh600637,其它,其它
20251103,sh600667,存储,AI算力
20251103,sh600681,其它,其它
20251103,sh600735,其它,其它
20251103,sh600759,其它,其它
20251103,sh601512,其它,其它
20251103,sh601929,传媒,AI应用
20251103,sh603014,其它,其它
20251103,sh603021,其它,其它
20251103,sh603030,其它,其它
20251103,sh603122,其它,其它
20251103,sh603163,其它,其它
20251103,sh603169,核电,新能源电网
20251103,sh603188,化工,周期资源
20251103,sh603268,其它,其它
20251103,sh603360,化工,周期资源
20251103,sh603398,其它,其它
20251103,sh603516,液冷,AI算力
20251103,sh603629,其它,其它
20251103,sh603778,光伏,新能源电网
20251103,sh603823,化工,周期资源
20251103,sh603929,其它,其它
20251103,sh605100,算力,AI算力
20251103,sh605258,PCB,AI算力
20251103,sh605338,其它,其它
20251103,sh605365,其它,其它
20251103,sh605598,航天,军工航天
20251103,sh688435,AI应用,AI应用
20251103,sz000004,其它,其它
20251103,sz000555,AI应用,AI应用
20251103,sz000572,其它,其它
20251103,sz000592,其它,其它
20251103,sz000609,其它,其它
20251103,sz000620,存储,AI算力
20251103,sz000632,其它,其它
20251103,sz000638,其它,其它
20251103,sz000691,其它,其它
20251103,sz000735,其它,其它
20251103,sz000736,其它,其它
20251103,sz000777,核电,新能源电网
20251103,sz000838,其它,其它
20251103,sz000892,传媒,AI应用
20251103,sz000901,航天,军工航天
20251103,sz000955,医药,医药
20251103,sz000973,储能,新能源电网
20251103,sz001266,液冷,AI算力
20251103,sz002005,其它,其它
20251103,sz002047,其它,其它
20251103,sz002076,其它,其它
20251103,sz002099,化工,周期资源
20251103,sz002134,PCB,AI算力
20251103,sz002140,化工,周期资源
20251103,sz002163,其它,其它
20251103,sz002181,传媒,AI应用
20251103,sz002231,其它,其它
20251103,sz002255,核电,新能源电网
20251103,sz002266,核电,新能源电网
20251103,sz002370,创新药,医药
20251103,sz002418,液冷,AI算力
20251103,sz002431,其它,其它
20251103,sz002485,其它,其它
20251103,sz002492,其它,其它
20251103,sz002554,其它,其它
20251103,sz002555,其它,其它
20251103,sz002581,其它,其它
20251103,sz002602,其它,其它
20251103,sz002611,核电,新能源电网
20251103,sz002634,光伏,新能源电网
20251103,sz002713,其它,其它
20251103,sz002772,其它,其它
20251103,sz002789,其它,其它
20251103,sz002796,光通信,AI算力
20251103,sz002885,储能,新能源电网
20251103,sz002912,AI应用,AI应用
20251103,sz300344,其它,其它
20251103,sz300402,核电,新能源电网
20251103,sz300455,航天,军工航天
20251103,sz300848,化工,周期资源
20251104,sh600067,其它,其它
20251104,sh600163,电力,新能源电网
20251104,sh600165,其它,其它
20251104,sh600289,其它,其它
20251104,sh600302,其它,其它
20251104,sh600308,化工,周期资源
20251104,sh600408,煤炭,周期资源
20251104,sh600506,液冷,AI算力
20251104,sh600593,其它,其它
20251104,sh600608,其它,其它
20251104,sh600622,其它,其它
20251104,sh600802,化工,周期资源
20251104,sh600815,其它,其它
20251104,sh601929,传媒,AI应用
20251104,sh603014,其它,其它
20251104,sh603021,其它,其它
20251104,sh603052,储能,新能源电网
20251104,sh603067,储能,新能源电网
20251104,sh603122,其它,其它
20251104,sh603169,核电,新能源电网
20251104,sh603175,PCB,AI算力
20251104,sh603268,其它,其它
20251104,sh603389,其它,其它
20251104,sh603530,电网,新能源电网
20251104,sh603557,其它,其它
20251104,sh603616,核电,新能源电网
20251104,sh603668,其它,其它
20251104,sh603686,其它,其它
20251104,sh603759,光伏,新能源电网
20251104,sh603817,其它,其它
20251104,sh603823,化工,周期资源
20251104,sh603863,化工,周期资源
20251104,sh605138,其它,其它
20251104,sh605188,其它,其它
20251104,sz000572,其它,其它
20251104,sz000592,其它,其它
20251104,sz000593,其它,其它
20251104,sz000608,其它,其它
20251104,sz000609,其它,其它
20251104,sz000620,存储,AI算力
20251104,sz000736,其它,其它
20251104,sz000753,其它,其它
20251104,sz000793,其它,其它
20251104,sz000797,其它,其它
20251104,sz000993,电力,新能源电网
20251104,sz001255,化工,周期资源
20251104,sz002047,其它,其它
20251104,sz002181,传媒,AI应用
20251104,sz002248,其它,其它
20251104,sz002255,核电,新能源电网
20251104,sz002289,其它,其它
20251104,sz002333,其它,其它
20251104,sz002451,其它,其它
20251104,sz002485,其它,其它
20251104,sz002496,其它,其它
20251104,sz002512,其它,其它
20251104,sz002578,有色,周期资源
20251104,sz002592,其它,其它
20251104,sz002639,核电,新能源电网
20251104,sz002679,其它,其它
20251104,sz002713,其它,其它
20251104,sz002752,其它,其它
20251104,sz002885,电网,新能源电网
20251104,sz300062,电网,新能源电网
20251104,sz300402,核电,新能源电网
20251104,sz300591,军工,军工航天
20251104,sz301136,其它,其它
20251105,920299.BJ,算力,AI算力
20251105,sh600089,电网,新能源电网
20251105,sh600302,其它,其它
20251105,sh600408,煤炭,周期资源
20251105,sh600550,电网,新能源电网
20251105,sh600693,其它,其它
20251105,sh600734,其它,其它
20251105,sh600756,其它,其它
20251105,sh600759,其它,其它
20251105,sh600815,其它,其它
20251105,sh600885,电网,新能源电网
20251105,sh600977,传媒,AI应用
20251105,sh601011,煤炭,周期资源
20251105,sh601567,电网,新能源电网
20251105,sh601929,传媒,AI应用
20251105,sh603008,其它,其它
20251105,sh603021,其它,其它
20251105,sh603079,其它,其它
20251105,sh603105,储能,新能源电网
20251105,sh603122,其它,其它
20251105,sh603261,其它,其它
20251105,sh603312,电网,新能源电网
20251105,sh603389,其它,其它
20251105,sh603530,电网,新能源电网
20251105,sh603557,其它,其它
20251105,sh603696,其它,其它
20251105,sh603759,储能,新能源电网
20251105,sh603838,其它,其它
20251105,sh603906,储能,新能源电网
20251105,sh605060,液冷,AI算力
20251105,sh605081,其它,其它
20251105,sh605199,其它,其它
20251105,sh605255,其它,其它
20251105,sh688472,储能,新能源电网
20251105,sh688517,储能,新能源电网
20251105,sz000430,其它,其它
20251105,sz000533,算力,AI算力
20251105,sz000572,其它,其它
20251105,sz000592,其它,其它
20251105,sz000609,其它,其它
20251105,sz000620,其它,其它
20251105,sz000629,储能,新能源电网
20251105,sz000657,PCB,AI算力
