code,row_count,first_date,last_date,markets
sh600193,60,2026-04-27,2026-08-07,sh
sh600355,14,2026-07-13,2026-08-07,sh
sh600421,54,2026-04-27,2026-08-07,sh
sh600599,54,2026-04-27,2026-08-07,sh
sh600608,59,2026-04-27,2026-08-07,sh
sh600636,55,2026-04-27,2026-08-07,sh
sh600696,55,2026-04-27,2026-08-07,sh
sh603056,14,2026-07-13,2026-08-07,sh
sh605081,59,2026-04-27,2026-08-07,sh
sh688287,41,2026-04-27,2026-08-07,sh
sz000004,62,2026-04-27,2026-08-07,sz
sz000638,38,2026-04-27,2026-08-07,sz
sz002231,14,2026-07-13,2026-08-07,sz
sz002808,65,2026-04-27,2026-08-07,sz
sz002898,59,2026-04-27,2026-08-07,sz
sz300029,64,2026-04-27,2026-08-07,sz
sz300344,14,2026-07-13,2026-08-07,sz
sz300391,14,2026-07-13,2026-08-07,sz
