code,name,market,industry,status,is_st,tradable,updated_at,source
bj920000,安徽凤凰,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920001,纬达光电,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920002,万达轴承,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920003,中诚咨询,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920005,鼎佳精密,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920006,晟楠科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920007,酉立智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920008,成电光信,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920009,丹娜生物,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920010,凯添燃气,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920011,晨光电机,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920012,创达新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920014,特瑞斯,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920015,锦华新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920016,中草香料,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920017,星昊医药,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920018,宏远股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920019,铜冠矿建,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920020,泰凯英,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920021,流金科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920022,世昌股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920023,*ST田野,bj,,active,True,True,2026-08-07T01:14:17+08:00,akshare
bj920026,卓兆点胶,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920027,交大铁发,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920028,新恒泰,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920029,开发科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920030,德众汽车,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920033,康普化学,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920035,精创电气,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920036,觅睿科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920037,广信科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920038,森合高科,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920039,国义招标,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920045,蘅东光,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920046,亿能电力,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920047,诺思兰德,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920050,爱伦医疗,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920055,隆源股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920056,能之光,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920057,百甲科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920058,华洋赛车,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920060,万源通,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920061,西磁科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920062,科润智控,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920065,千岸科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920066,科拜尔,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920068,天工股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920069,普昂医疗,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920072,科莱瑞迪,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920075,柏星龙,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920076,国亮新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920077,吉林碳谷,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920078,族兴新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920079,乔路铭,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920080,奥美森,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920081,欧伦电气,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920082,方正阀门,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920083,金戈新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920086,科马材料,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920087,秋乐种业,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920088,科力股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920089,禾昌聚合,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920090,*ST同辉,bj,,active,True,True,2026-08-07T01:14:17+08:00,akshare
bj920091,大鹏工业,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920092,汉鑫科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920096,嘉晨智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920098,科隆新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920099,瑞华技术,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920100,三协电机,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920101,志高机械,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920106,林泰新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920108,宏海科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920110,雷特科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920111,聚星科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920112,巴兰仕,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920116,星图测控,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920117,龙鑫智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920118,太湖远大,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920119,美德乐,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920121,江天科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920122,中纺标,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920123,芭薇股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920124,南特科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920125,鸿仕达,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920126,永大股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920128,胜业电气,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920130,立方控股,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920132,泰鹏智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920136,永励精密,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920139,华岭股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920145,恒合股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920146,华阳变速,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920149,旭杰科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920152,昆工科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920156,海昌智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920158,长江能科,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920159,农大科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920160,北矿检测,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920161,龙辰科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920163,方大新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920166,海圣医疗,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920167,同享科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920168,通宝光电,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920169,七丰精工,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920171,志晟信息,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920174,五新智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920175,东方碳素,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920176,维琪科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
