日期,类型,代码,名称,连板数
20251106,ZT,sh603122,合富中国,8.0
20251106,ZT,sz002255,海陆重工,4.0
20251106,ZT,sz002451,摩恩电气,3.0
20251106,ZT,sz000993,闽东电力,3.0
20251106,ZT,sz002300,太阳电缆,2.0
20251106,ZT,sz002478,常宝股份,2.0
20251106,ZT,sz002591,恒大高新,2.0
20251106,ZT,sz001209,洪兴股份,2.0
20251106,ZT,sh600550,保变电气,2.0
20251106,ZT,sz000533,顺钠股份,2.0
20251106,ZT,sh605060,联德股份,2.0
20251106,ZT,sh603188,亚邦股份,1.0
20251106,ZT,sh600370,三房巷  ,1.0
20251106,ZT,sz002170,芭田股份,1.0
20251106,ZT,sh600078,澄星股份,1.0
20251106,ZT,sz002562,兄弟科技,1.0
20251106,ZT,sz300437,清水源,1.0
20251106,ZT,sh600096,云天化  ,1.0
20251106,ZT,sh603225,新凤鸣  ,1.0
20251106,ZT,sh600218,全柴动力,1.0
20251106,ZT,sz300775,三角防务,1.0
20251106,ZT,sz000534,万泽股份,1.0
20251106,ZT,sh603109,神驰机电,1.0
20251106,ZT,sh600391,航发科技,1.0
20251106,ZT,sh605123,派克新材,1.0
20251106,ZT,sh603067,振华股份,1.0
20251106,ZT,sh603052,可川科技,1.0
20251106,ZT,sz000559,万向钱潮,1.0
20251106,ZT,sz001203,大中矿业,1.0
20251106,ZT,sz002083,孚日股份,1.0
20251106,ZT,sh688353,华盛锂电,1.0
20251106,ZT,sz002518,科士达,1.0
20251106,ZT,sh605196,华通线缆,1.0
20251106,ZT,sh601179,中国西电,1.0
20251106,ZT,sz002578,闽发铝业,1.0
20251106,ZT,sh600219,南山铝业,1.0
20251106,ZT,sz002160,常铝股份,1.0
20251106,ZT,sh601600,中国铝业,1.0
20251106,ZT,sh688048,长光华芯,1.0
20251106,ZT,sz001267,汇绿生态,1.0
20251106,ZT,sz002988,豪美新材,1.0
20251106,ZT,sz002384,东山精密,1.0
20251106,ZT,sz000922,佳电股份,1.0
20251106,ZT,sh603978,深圳新星,1.0
20251106,ZT,sh600506,统一股份,1.0
20251106,ZT,sh603516,淳中科技,1.0
20251106,ZT,sz002975,博杰股份,1.0
20251106,ZT,sh603931,格林达  ,1.0
20251106,ZT,sh603061,金海通  ,1.0
20251106,ZT,sz001309,德明利,1.0
20251106,ZT,sz000838,财信发展,1.0
20251106,ZT,sh600939,重庆建工,1.0
20251106,ZT,sz000514,渝 开 发,1.0
20251106,ZT,sz002196,方正电机,1.0
20251106,ZT,sh603040,新坐标  ,1.0
20251106,ZT,sh601877,正泰电器,1.0
20251106,ZT,sz000338,潍柴动力,1.0
20251106,ZT,sz002713,*ST东易,1.0
20251106,ZT,sz000609,ST中迪,1.0
20251106,ZT,sz002047,*ST宝鹰,1.0
20251106,ZT,sz000736,*ST中地,1.0
20251106,ZT,sz002485,ST雪发,1.0
20251106,ZT,sh603557,ST起步  ,1.0
20251106,ZT,sz000820,*ST节能,1.0
20251106,ZT,sz002122,ST汇洲,1.0
20251106,ZT,sz002816,*ST和科,1.0
20251106,ZT,sz002868,*ST绿康,1.0
20251106,ZT,sh601015,陕西黑猫,1.0
20251106,ZT,sz002851,麦格米特,1.0
20251106,ZT,sh603232,格尔软件,1.0
20251106,ZT,sz000700,模塑科技,1.0
20251106,ZT,sh600966,博汇纸业,1.0
20251107,ZT,sh603122,合富中国,9.0
20251107,ZT,sz002255,海陆重工,5.0
20251107,ZT,sz002451,摩恩电气,4.0
20251107,ZT,sz001209,洪兴股份,3.0
20251107,ZT,sz000514,渝 开 发,2.0
20251107,ZT,sh603978,深圳新星,2.0
20251107,ZT,sz002518,科士达,2.0
20251107,ZT,sz002196,方正电机,2.0
20251107,ZT,sh600078,澄星股份,2.0
20251107,ZT,sh600939,重庆建工,2.0
20251107,ZT,sz002083,孚日股份,2.0
20251107,ZT,sz300437,清水源,2.0
20251107,ZT,sz002522,浙江众成,1.0
20251107,ZT,sh600618,氯碱化工,1.0
20251107,ZT,sh600691,潞化科技,1.0
20251107,ZT,sz000912,泸天化,1.0
20251107,ZT,sz002250,联化科技,1.0
20251107,ZT,sh600610,中毅达  ,1.0
20251107,ZT,sz002805,丰元股份,1.0
20251107,ZT,sz002091,江苏国泰,1.0
20251107,ZT,sz002759,天际股份,1.0
20251107,ZT,sz000545,金浦钛业,1.0
20251107,ZT,sz002326,永太科技,1.0
20251107,ZT,sz002136,安 纳 达,1.0
20251107,ZT,sz002407,多氟多,1.0
20251107,ZT,sh603169,兰石重装,1.0
20251107,ZT,sz002658,雪迪龙,1.0
20251107,ZT,sz002119,康强电子,1.0
20251107,ZT,sh603759,海天股份,1.0
20251107,ZT,sz002897,意华股份,1.0
20251107,ZT,sh600537,亿晶光电,1.0
20251107,ZT,sh603185,弘元绿能,1.0
20251107,ZT,sz002927,泰永长征,1.0
20251107,ZT,sz002706,良信股份,1.0
20251107,ZT,sz000803,山高环能,1.0
20251107,ZT,sz300072,海新能科,1.0
20251107,ZT,sh688196,卓越新能,1.0
20251107,ZT,sh603131,上海沪工,1.0
20251107,ZT,sh605598,上海港湾,1.0
20251107,ZT,sz300102,乾照光电,1.0
20251107,ZT,sz000753,漳州发展,1.0
20251107,ZT,sz000632,三木集团,1.0
20251107,ZT,sh603663,三祥新材,1.0
20251107,ZT,sh603260,合盛硅业,1.0
20251107,ZT,sz300821,东岳硅材,1.0
20251107,ZT,sz000572,海马汽车,1.0
20251107,ZT,sh601969,海南矿业,1.0
20251107,ZT,sz002915,中欣氟材,1.0
20251107,ZT,sz002768,国恩股份,1.0
20251107,ZT,sh600678,四川金顶,1.0
20251107,ZT,sz002713,*ST东易,1.0
20251107,ZT,sz000609,ST中迪,1.0
20251107,ZT,sz002485,ST雪发,1.0
20251107,ZT,sz000608,*ST阳光,1.0
20251107,ZT,sz002868,*ST绿康,1.0
20251107,ZT,sz002306,*ST云网,1.0
20251107,ZT,sh603828,ST柯利达,1.0
20251107,ZT,sz002058,*ST威尔,1.0
20251107,ZT,sh603398,*ST沐邦 ,1.0
20251107,ZT,sh603813,*ST原尚 ,1.0
20251107,ZT,sz002950,奥美医疗,1.0
20251107,ZT,sh600292,远达环保,1.0
20251107,ZT,sh600179,安通控股,1.0
20251110,ZT,sz002451,摩恩电气,5.0
20251110,ZT,sz001209,洪兴股份,4.0
20251110,ZT,sh600939,重庆建工,3.0
20251110,ZT,sz002083,孚日股份,3.0
20251110,ZT,sh600078,澄星股份,3.0
20251110,ZT,sz300437,清水源,3.0
20251110,ZT,sh603185,弘元绿能,2.0
20251110,ZT,sz002136,安 纳 达,2.0
20251110,ZT,sz000632,三木集团,2.0
20251110,ZT,sh600678,四川金顶,2.0
20251110,ZT,sz002759,天际股份,2.0
20251110,ZT,sh600113,浙江东日,1.0
20251110,ZT,sz300997,欢乐家,1.0
20251110,ZT,sh601579,会稽山  ,1.0
20251110,ZT,sz002374,中锐股份,1.0
20251110,ZT,sh603536,惠发食品,1.0
20251110,ZT,sh600429,三元股份,1.0
20251110,ZT,sh605338,巴比食品,1.0
20251110,ZT,sz002910,庄园牧场,1.0
20251110,ZT,sh600702,舍得酒业,1.0
20251110,ZT,sz000799,酒鬼酒,1.0
20251110,ZT,sh688353,华盛锂电,1.0
20251110,ZT,sz002667,威领股份,1.0
20251110,ZT,sz002256,兆新股份,1.0
20251110,ZT,sh688148,芳源股份,1.0
20251110,ZT,sz000688,国城矿业,1.0
20251110,ZT,sz002426,胜利精密,1.0
20251110,ZT,sz000993,闽东电力,1.0
20251110,ZT,sh600815,厦工股份,1.0
20251110,ZT,sh600693,东百集团,1.0
20251110,ZT,sh600103,青山纸业,1.0
20251110,ZT,sh600067,冠城新材,1.0
20251110,ZT,sz002961,瑞达期货,1.0
20251110,ZT,sz000695,滨海能源,1.0
20251110,ZT,sh603778,国晟科技,1.0
20251110,ZT,sh603396,金辰股份,1.0
20251110,ZT,sh600819,耀皮玻璃,1.0
20251110,ZT,sh603938,三孚股份,1.0
20251110,ZT,sz002940,昂利康,1.0
20251110,ZT,sh600829,人民同泰,1.0
20251110,ZT,sz000788,北大医药,1.0
20251110,ZT,sh688670,金迪克  ,1.0
20251110,ZT,sz002432,九安医疗,1.0
20251110,ZT,sz000620,盈新发展,1.0
20251110,ZT,sz002213,大为股份,1.0
20251110,ZT,sh688233,神工股份,1.0
20251110,ZT,sz002654,万润科技,1.0
20251110,ZT,sh600751,海航科技,1.0
20251110,ZT,sz000069,华侨城Ａ,1.0
20251110,ZT,sh600082,海泰发展,1.0
20251110,ZT,sh601888,中国中免,1.0
20251110,ZT,sh600754,锦江酒店,1.0
20251110,ZT,sh600258,首旅酒店,1.0
20251110,ZT,sz000949,新乡化纤,1.0
20251110,ZT,sz000830,鲁西化工,1.0
20251110,ZT,sh600423,柳化股份,1.0
20251110,ZT,sh603533,掌阅科技,1.0
20251110,ZT,sz300959,线上线下,1.0
20251110,ZT,sz000533,顺钠股份,1.0
20251110,ZT,sz002208,合肥城建,1.0
20251110,ZT,sz002713,*ST东易,1.0
20251110,ZT,sz000609,ST中迪,1.0
20251110,ZT,sz002047,*ST宝鹰,1.0
20251110,ZT,sh603021,ST华鹏  ,1.0
20251110,ZT,sz000820,*ST节能,1.0
20251110,ZT,sz002868,*ST绿康,1.0
20251110,ZT,sz002306,*ST云网,1.0
20251110,ZT,sz002076,*ST星光,1.0
20251110,ZT,sh603813,*ST原尚 ,1.0
20251110,ZT,sh603828,ST柯利达,1.0
20251110,ZT,sz002122,ST汇洲,1.0
20251110,ZT,sh600735,ST新华锦,1.0
20251110,ZT,sh600228,*ST返利 ,1.0
20251110,ZT,sh603377,ST东时  ,1.0
20251110,ZT,sh600608,*ST沪科 ,1.0
20251110,ZT,sz000615,*ST美谷,1.0
20251110,ZT,sh603789,*ST星农 ,1.0
20251110,ZT,sh603268,*ST松发 ,1.0
20251110,ZT,sh600696,*ST岩石 ,1.0
20251110,ZT,sz002214,*ST大立,1.0
20251110,ZT,sz002717,ST岭南,1.0
20251110,ZT,sz002636,金安国纪,1.0
20251110,ZT,sz300131,英唐智控,1.0
20251110,ZT,sz002387,维信诺,1.0
20251110,ZT,sh601226,华电科工,1.0
20251110,ZT,sz000037,深南电A,1.0
20251110,ZT,sz001206,依依股份,1.0
20251110,ZT,sz002225,濮耐股份,1.0
20251110,ZT,sh605188,国光连锁,1.0
20251110,ZT,sh601121,宝地矿业,1.0
20251110,ZT,sh603429,集友股份,1.0
20251110,ZT,sz000686,东北证券,1.0
20251111,ZT,sz002451,摩恩电气,6.0
20251111,ZT,sz002083,孚日股份,4.0
20251111,ZT,sz000632,三木集团,3.0
20251111,ZT,sh688233,神工股份,2.0
20251111,ZT,sh600693,东百集团,2.0
20251111,ZT,sz002374,中锐股份,2.0
20251111,ZT,sh600829,人民同泰,2.0
20251111,ZT,sz300997,欢乐家,2.0
20251111,ZT,sh600113,浙江东日,2.0
20251111,ZT,sz300959,线上线下,2.0
20251111,ZT,sz002387,维信诺,2.0
20251111,ZT,sz000688,国城矿业,2.0
20251111,ZT,sz000069,华侨城Ａ,2.0
20251111,ZT,sh603778,国晟科技,2.0
20251111,ZT,sh600429,三元股份,2.0
20251111,ZT,sh603396,金辰股份,2.0
20251111,ZT,sh688670,金迪克  ,2.0
20251111,ZT,sh603938,三孚股份,2.0
20251111,ZT,sh600537,亿晶光电,1.0
20251111,ZT,sz002218,拓日新能,1.0
20251111,ZT,sz002309,中利集团,1.0
20251111,ZT,sz300393,中来股份,1.0
20251111,ZT,sz000619,海螺新材,1.0
20251111,ZT,sz002506,协鑫集成,1.0
20251111,ZT,sh600477,杭萧钢构,1.0
20251111,ZT,sh600475,华光环能,1.0
20251111,ZT,sz002196,方正电机,1.0
20251111,ZT,sz002204,大连重工,1.0
20251111,ZT,sz002691,冀凯股份,1.0
20251111,ZT,sh603683,晶华新材,1.0
20251111,ZT,sz002676,顺威股份,1.0
20251111,ZT,sz000008,神州高铁,1.0
20251111,ZT,sh600681,百川能源,1.0
20251111,ZT,sh688585,上纬新材,1.0
20251111,ZT,sh600737,中粮糖业,1.0
20251111,ZT,sz002286,保龄宝,1.0
20251111,ZT,bj920726,朱老六,1.0
20251111,ZT,sz002326,永太科技,1.0
20251111,ZT,sz002733,雄韬股份,1.0
20251111,ZT,sz300082,奥克股份,1.0
20251111,ZT,sh603663,三祥新材,1.0
20251111,ZT,sh603686,福龙马  ,1.0
20251111,ZT,sh600172,黄河旋风,1.0
20251111,ZT,sz300179,四方达,1.0
20251111,ZT,sh605580,恒盛能源,1.0
20251111,ZT,sz002728,特一药业,1.0
20251111,ZT,sh600222,太龙药业,1.0
20251111,ZT,sh600094,大名城  ,1.0
20251111,ZT,sz000631,顺发恒能,1.0
20251111,ZT,sh601567,三星医疗,1.0
20251111,ZT,sz300360,炬华科技,1.0
20251111,ZT,sz002328,新朋股份,1.0
20251111,ZT,sz002053,云南能投,1.0
20251111,ZT,sh600403,大有能源,1.0
20251111,ZT,sh600408,安泰集团,1.0
20251111,ZT,sh600516,方大炭素,1.0
20251111,ZT,sh688448,磁谷科技,1.0
20251111,ZT,sz002713,*ST东易,1.0
20251111,ZT,sz000609,ST中迪,1.0
20251111,ZT,sz002076,*ST星光,1.0
20251111,ZT,sz002868,*ST绿康,1.0
20251111,ZT,sh603268,*ST松发 ,1.0
20251111,ZT,sz000608,*ST阳光,1.0
20251111,ZT,sh603813,*ST原尚 ,1.0
20251111,ZT,sh603828,ST柯利达,1.0
20251111,ZT,sh603377,ST东时  ,1.0
20251111,ZT,sh603398,*ST沐邦 ,1.0
20251111,ZT,sh600130,*ST波导 ,1.0
20251111,ZT,sz000430,*ST张股,1.0
20251111,ZT,sz002620,ST瑞和,1.0
20251111,ZT,sh603389,*ST亚振 ,1.0
20251111,ZT,sz000908,*ST景峰,1.0
20251111,ZT,sh603122,合富中国,1.0
20251111,ZT,sz000407,胜利股份,1.0
20251111,ZT,sh600810,神马股份,1.0
20251111,ZT,sz000985,大庆华科,1.0
20251111,ZT,sh600831,广电网络,1.0
20251111,ZT,sh600714,金瑞矿业,1.0
20251111,ZT,sz000061,农 产 品,1.0
20251111,ZT,sz002718,友邦吊顶,1.0
20251111,ZT,sh601061,中信金属,1.0
20251111,ZT,sz301518,长华化学,1.0
20251112,ZT,sz002451,摩恩电气,7.0
20251112,ZT,sz002083,孚日股份,5.0
20251112,ZT,sz000632,三木集团,4.0
20251112,ZT,sz002374,中锐股份,3.0
20251112,ZT,sh600693,东百集团,3.0
20251112,ZT,sh600829,人民同泰,3.0
